Name
Abhilasha Khatoon,f
Revan Baranwal,f
Romila Khurana,f
Shantanu Keer,m
Ahinsa Bhasin,f
Wasfia Morar,f
Jodha Kumer,f
Wafa Veerepalli,m
Inderpal Barad,m
Aayansh Bath,m
Purnanada Jani,m
Soni Tekchandani,f
Hemal Vora,m
Meera Shivastava,f
Hashir Behl,m
Omaja Sabharwal
Zakariya Seshadri
Zaina Chatterjee
Sonth Mistry
Radhika Ramesh
Sairam Contractor
Xalak Manjhi
Shreyas Prabhu
Sarath Sagar
Kushagra Malhotra
Prabhakar Shere
Mayur Negi
Jaykant Wali
Raghwendra Bava
Sifat Machhan
Bhoopendra Mane
Grover Keshwani
Purnima Rakhecha
Durba Prajapati
Shreyasi Govil
Abhik Lavudya
Shreya Behuria
Ronit Chakrabortty
Ari Kalita
Indora Quraishi
Vyomini Kancharla
Imaad Mehra
Smita Dutta
Suhasini Raman
Abhay Arora
Bhanumati Das
Devjeet Tekchandani
Shivaya Ganguly
Shalini Joseph
Bimala Sur
Probal Pau
Rajat Singam
Shailendra Chanda
Aditi Siraj
Chandana Wanve
Gaurangi Barnawal
Aum Tomar
Zian Mourya
Paawan Malhotra
Bokul Dutta
Shlok Banothu
Monu Khatoon
Nila Baliga
Pavalan Solanki
Tariq Sarna
Deepshikha Islam
Swati Rajendra
Ziyad Palata
Kalyani Jajoo
Anchal Chanda
Priyakanta Bais
Aakesh Dhingra
Dhrsita Majumdar
Ramanakanth Gara
Prasonjit Haokip
Balbir Nichit
Jiyana Sengar
Humaira Sandhu
Kaustubh Dyal
Kamya Char
Ashal Rizvi
Manush Sekh
Aditi Balkoty
Munthala Hayre
Idika Soman
Jigisu Pasupuleti
Kareena Narayan
Hema Sani
Amulya Inavolu
Sonth Bhatt
Sajmi Khandelwal
Yanisha Sandal
Prasanna Kavi
Shyam Deo
Rizwa Ma
Radhika Vaish
Ankita Vashisth
Jyoti Grover
